Roll Number,Subject,Credit,Type,Grade,Semester
1301EE34,CS201,9,CORE,,3
1301EE34,EE200,6,CORE,,3
1301EE34,EE201,6,CORE,,3
1301EE34,EE202,3,CORE,,3
1301EE34,EE220,8,CORE,,3
1301EE34,MA201,8,CORE,,3
1301ME08,CS201,9,CORE,,3
1301ME08,HS241,6,HS Elective,,3
1301ME08,MA201,8,CORE,,3
1301ME08,ME201,6,CORE,,3
1301ME08,ME204,6,CORE,,3
1301ME08,ME205,8,CORE,,3
1301ME08,ME211,4,CORE,,3
0801ME11,CH101,8,CORE,DD,1
0801ME11,CH110,3,CORE,BC,1
0801ME11,EE101,8,CORE,CD,1
0801ME11,HS101,6,CORE,CD,1
0801ME11,MA101,8,CORE,DD,1
0801ME11,ME111,7,CORE,CC,1
0801ME11,PH110,3,CORE,BB,1
0801ME11,CH102,6,CORE,CD,2
0801ME11,CS101,6,CORE,DD,2
0801ME11,CS110,3,CORE,BC,2
0801ME11,EE102,4,CORE,BC,2
0801ME11,MA102,8,CORE,DD,2
0801ME11,ME101,8,CORE,CC,2
0801ME11,ME110,3,CORE,BC,2
0801ME11,CS201,9,CORE,CD,3
0801ME11,HS201,6,HS ELECTIVE,DD,3
0801ME11,MA201,8,CORE,DD,3
0801ME11,ME201,6,CORE,DD,3
0801ME11,ME204,6,CORE,DD,3
0801ME11,ME205,8,CORE,DD,3
0801ME11,ME211,4,CORE,BB,3
0801ME11,EE280,6,CORE,DD,4
0801ME11,EE281,3,CORE,CD,4
0801ME11,HS202,6,HS ELECTIVE,CD,4
0801ME11,MA251,6,Elective-Sc.,DD,4
0801ME11,ME202,6,CORE,DD,4
0801ME11,ME203,6,CORE,DD,4
0801ME11,ME206,6,CORE,DD,4
0801ME11,ME210,6,CORE,BC,4
0801ME11,ME212,4,CORE,CC,4
0801ME11,ME301,8,CORE,DD,5
0801ME11,ME302,6,CORE,CC,5
0801ME11,ME303,8,CORE,DD,5
0801ME11,ME304,6,CORE,CD,5
0801ME11,ME305,8,CORE,DD,5
0801ME11,ME310,4,CORE,BB,5
0801ME11,ME321,6,CORE,DD,5
0801ME11,HS331,6,HSS Elective,DD,6
0801ME11,ME306,8,CORE,DD,6
0801ME11,ME307,8,CORE,CC,6
0801ME11,ME308,6,CORE,DD,6
0801ME11,ME309,8,CORE,DD,6
0801ME11,ME311,4,CORE,BC,6
0801ME11,ME322,6,CORE,DD,6
0801ME11,ME400,2,CORE,AB,7
0801ME11,ME401,8,CORE,CD,7
0801ME11,ME411,4,CORE,BC,7
0801ME11,ME498,8,CORE,AB,7
0801ME11,ME501,6,Departmental Elective - I,CC,7
0801ME11,ME503,6,Departmental Elective - II,DD,7
0801ME11,PH401,6,Open Elective - I,CC,7
0801ME11,HS441,6,HS Elective,DD,8
0801ME11,ME447,6,Departmental Elective - III,CC,8
0801ME11,ME449,6,Departmental Elective - IV,DD,8
0801ME11,ME499,16,CORE,BC,8
0801ME11,PH403,6,Open Elective - II,DD,8
0801ME11,PH101,6,CORE,DD,10
0801ME11,PH102,6,CORE,BB,10
0921ME01,HS712,4,CREDIT,BB,1
0921ME01,ME702,6,CREDIT,BB,1
0921ME01,ME721,6,CREDIT,AB,1
0921ME01,ME742,6,CREDIT,BC,1
0921ME01,ME761,6,CREDIT,AB,2
0921ME01,ME768,6,CREDIT,BB,2
0921ME01,PH708,6,CREDIT,BB,4
1121CS01,EE715,6,CREDIT,AB,1
1121CS01,CS761,6,CREDIT,AB,3
1121CS01,HS712,4,CREDIT,BB,4
1121CS01,CS743,6,CREDIT,AA,7
1121CS06,CS761,6,CREDIT,BB,2
1121CS06,ME765,6,CREDIT,AA,2
1121CS06,HS712,4,CREDIT,BB,3
1121CS07,HS712,4,CREDIT,BC,1
1121CS07,CS761,6,CREDIT,BB,3
1121CS07,ME765,6,CREDIT,BB,3
1121EE03,EE716,6,CREDIT,BC,1
1121EE03,MA752,6,CREDIT,BB,1
1121EE03,HS712,4,CREDIT,F,2
1121EE03,HS712,4,CREDIT,F,4
1121ME01,HS712,4,CREDIT,AB,1
1121ME01,ME768,6,CREDIT,BB,1
1121ME01,ME761,6,CREDIT,BC,3
1121ME03,HS712,4,CREDIT,BC,1
1121ME03,MA731,6,CREDIT,BB,1
1121ME03,ME768,6,CREDIT,AB,1
1121ME03,ME503,6,CREDIT,AA,3
1121ME03,ME702,6,CREDIT,AA,3
1121ME03,ME761,6,CREDIT,BB,3
1121ME03,ME765,6,CREDIT,AB,3
1121PH02,HS712,4,CREDIT,AB,1
1121PH02,PH704,6,CREDIT,AA,1
1121PH02,PH706,6,CREDIT,AB,1
1121PH02,PH710,6,CREDIT,AB,1
1121PH02,PH706,6,CREDIT,AB,3
1121PH02,PH707,6,CREDIT,AB,3
1121PH03,HS712,4,CREDIT,BB,1
1121PH03,PH704,6,CREDIT,AB,1
1121PH03,PH706,6,CREDIT,CC,1
1121PH03,PH710,6,CREDIT,AA,1
1121PH03,PH705,6,CREDIT,AA,3
1121PH05,HS712,4,CREDIT,BB,1
1121PH05,PH704,6,CREDIT,AB,1
1121PH05,PH710,6,CREDIT,AB,1
1121PH05,PH705,6,CREDIT,AB,3
1121PH05,PH706,6,CREDIT,AB,3
1221CS04,CS761,6,CREDIT,BC,1
1221CS04,CS507,6,CREDIT,BC,2
1221CS04,HS712,4,CREDIT,AB,2
1221CS04,CS743,6,CREDIT,AB,5
1221EE01,HS712,4,CREDIT,AB,2
1221EE01,MA501,6,CREDIT,AB,2
1221EE01,EE508,6,CREDIT,AA,3
1221ME04,HS712,4,CREDIT,AB,1
1221ME04,NT502,6,CREDIT,BB,1
1221ME04,ME742,6,CREDIT,AA,2
1221ME04,ME522,6,CREDIT,CC,4
